編號,辦理單位,電話,分機,傳真機號碼,電子郵件,郵遞區號,地址,服務區域,服務時間,網址,最後更新時間
"1","新埔社會福利服務中心","(03)5891500","","(03)5891501","","305","新竹縣新埔鎮中正路776號2樓","新埔鎮、關西鎮","週一至週五08:00-17:30","https://www.facebook.com/profile.php?id=100068671475874","114/05/23"
"2","達谷婻1919服務中心","(03)5852033","","","","311","新竹縣五峰鄉竹林村2鄰43號","","10:00-16:00","","114/05/23"
"3","花園1919服務中心","(03)5842556","","","","311","新竹縣五峰鄉花園村7鄰154號","","08:00-17:00","","114/05/23"
"4","嵨瀨1919服務中心","(03)5856234","","","","311","新竹縣五峰鄉桃山村6鄰108號","","08:00-17:00","","114/05/23"
"5","梅花1919服務中心","(03)5842351","","","","313","新竹縣尖石鄉梅花村4鄰95-1號","","09:00-16:00","","114/05/23"
"6","錦屏1919服務中心","(03)5841962","","","","313","新竹縣尖石鄉錦屏村3鄰比麟6號","","08:00-17:00","","114/05/23"
"7","竹北1919服務中心","(03)5553706","","","","302","新竹縣竹北市中正東路366號","","10:30-18:00","","114/05/23"
"8","五尖1919服務中心","(03)5940706","","","","310","新竹縣竹東鎮上館里東峰路137巷34弄6號","","10:00-18:00","","114/05/23"
"9","竹東聖潔1919服務中心","(03)5965582","","","","310","新竹縣竹東鎮中山路31號","","週一09:00-18:00週三至週日09:00-18:00","","114/05/23"
"10","竹東愛鄰舍1919服務中心","(03)5964821","","","","310","新竹縣竹東鎮幸福路132號","","08:00-17:00","","114/05/23"
"11","竹東靈糧1919服務中心","(03)5955251","","","","310","新竹縣竹東鎮東林路48號5樓","","09:00-18:00","","114/05/23"
"12","竹東社會福利服務中心","(03)5100818","","(03)5100772","","310","新竹縣竹東鎮中豐路三段58號","竹東鎮、寶山鄉、峨眉鄉、北埔鄉、五峰鄉","週一至週五08:00-17:30","https://www.facebook.com/profile.php?id=100068912632119","114/05/23"
"13","橫山社會福利服務中心","(03)5933232","","(03)5933332","","312","新竹縣橫山鄉永昌街53號","橫山鄉、芎林鄉、尖石鄉","週一至週五08:00-17:30","https://www.facebook.com/HS5933232/about","114/05/23"
"14","新湖社會福利服務中心","(03)5583823","","(03)5584255","","305","新竹縣新埔鎮中正路776號2樓","新豐鄉、湖口鄉","週一至週五08:00-17:30","https://www.facebook.com/profile.php?id=100067058745899","114/05/23"
"15","新埔1919服務中心","(03)5883196","","","","305","新竹縣新埔鎮義民路一段20號","","14:00-17:00","","114/05/23"
"16","關西愛鄰舍1919服務中心","(03)5872773","","","","306","新竹縣關西鎮中山東路179號","","08:00-17:00","","114/05/23"
"17","梅后蔓1919服務中心","(03)5851222、0985008219","","","","311","新竹縣五峰鄉花園村7鄰157號","","週二至週日09:00-17:00","","114/05/23"
"18","樂賀安1919服務中心","0976616122","","","","311","新竹縣五峰鄉花園村2鄰45號","","週一至週日10:00-17:00","","114/05/23"
"19","竹北愛家1919服務中心","0912877917","","","","302","新竹縣竹北市長青路一段367號4樓B2","","週六至週日10:00-15:00","","114/05/23"
"20","社會處社會救助及社工科","(03)5518101","3221","","","302","新竹縣竹北市光明六路10號B棟","全縣","週一至週五08:00-17:30","https://social.hsinchu.gov.tw/News_Content.aspx?n=207&s=3876","114/05/23"
"21","新豐聖潔1919服務中心","0987194458","","","","304","新竹縣新豐鄉新庄路92號","","週日08:00-18:00","","114/05/23"
"22","煤源1919服務中心","(03)5842423","","","","313","新竹縣尖石鄉新樂村10鄰113號","","週一至週五10:00-12:00","","114/05/23"
"23","(總行)安得列慈善基金會新竹辦事處","(03)5233852","","","","300","新竹市東區林森路231號B1","","星期一~五 8:30-17:30","","114/05/23"
"24","竹北社會福利服務中心","(03)5586581","","(03)5586170","sp5586581@gmail.com","302","新竹縣竹北市光明二街91號4樓(新竹縣綜合社會福利館)","竹北市","週一至週五08:00-17:30","https://www.facebook.com/5586581SP/","114/05/23"
"25","新竹純福音1919服務中心","(03)6576714","","","","302","新竹縣竹北市自強南路8號","","週二-週五9:00-17:00","","114/05/23"
"26","(關西食物銀行)新竹縣燭光公益協會","(03)5870050","","","gxfoodbank@gmail.com","306","新竹縣關西鎮青山街223號","","","https://www.facebook.com/people/%E9%97%9C%E8%A5%BF%E9%A3%9F%E7%89%A9%E9%8A%80%E8%A1%8C/61571128724939/#","114/05/23"
