編號,據點名稱,聯絡人,職稱,電話,分機,郵遞區號,據點地址,定期集中用餐狀況,成立年份,最後更新時間
"1","社團法人新竹縣愛鄰社區關懷協會","陳佳旻","樂齡專員","(03)5588577","1214","302","新竹縣竹北市斗崙里嘉勤南路86號","每日供餐(一般據點)","109年","114/04/14"
"2","竹北市竹義社區發展協會","林清隆","理事長","0936267345","","302","新竹縣竹北市福德街67號4樓","每週四 (一般據點)","96年","114/04/14"
"3","竹北市竹仁社區發展協會","鄭素真","總幹事","0920111891","","302","新竹縣竹北市竹仁里文化街148巷1號","每週3、5","109年","114/04/14"
"4","竹北市農友協進會","林庭義","理事長","0910591317","","302","新竹縣竹北市大義里鳳岡路3段201號","週2、3、4","108年","114/04/14"
"5","竹北市中興社區發展協會","徐定國","總幹事","0939250738","","302","新竹縣竹北市嘉豐南路1段11號","每週5次","106年","114/04/14"
"6","竹北市竹北社區發展協會","田梅春","理事長","0912536942","","302","新竹縣竹北市中山路236號","每週5次","106年","114/04/14"
"7","竹北市大眉社區發展協會","陳蔡彩霞","總幹事","0918037901","","302","新竹縣竹北市大眉里鳳岡路一段178號","每週5次","100年","114/04/14"
"8","竹北市新國社區發展協會","彭德昌","理事長","0932168899","","302","新竹縣竹北市華興一街160號2樓","每週5次","106年","114/04/14"
"9","竹北市鹿場社區發展協會","鄭瑞琴","理事長","0953503672","","302","新竹縣竹北市福興東路一段365號","每週5次","109年","114/04/14"
"10","竹北市十興社區發展協會","毛綱?","據點治療師","0931203437","","302","新竹縣竹北市十興里莊敬二街9號","每週5次","111年","114/04/14"
"11","竹北市隘口社區發展協會","藍木清","理事長","0932378053","","302","新竹縣竹北市隘口里隘口七街19號1樓","每週5次","106年","114/04/14"
"12","芎林鄉永興社區發展協會","官秋蓉","理事長","0936336265","","307","新竹縣芎林鄉永興村王爺坑7鄰39之3號","每週4","108年","114/04/14"
"13","芎林鄉芎林社區發展協會","劉代慶","總幹事","0955693703","","307","新竹縣芎林鄉芎林村文富街39號","每週3","108年","114/04/14"
"14","芎林鄉石潭社區發展協會","羅傳軍","志工隊長","0936453110","","307","新竹縣芎林鄉石潭村福昌街300巷47號","每週4","108年","114/04/14"
"15","芎林鄉上山社區發展協會","邱杏嫻","理事長","0988211252","","307","新竹縣芎林鄉上山村綠獅三街6號","每週1、3、5","113年","114/04/14"
"16","芎林鄉芎林亮起來發展協會","陳春園","理事長","0933859410","","307","新竹縣芎林鄉新鳳村文衡路420號","每週5","114年","114/04/14"
"17","新埔鎮旱坑社區發展協會","呂易丞","理事長","0980003875","","305","新竹縣新埔鎮旱坑里旱坑路一段87號","每週3","113年","114/04/14"
"18","新埔鎮文山社區發展協會","梁和龍","總幹事","0920423880","","305","新竹縣新埔鎮文山一街69號","每週4","111年","114/04/14"
"19","新埔鎮北平社區發展協會","蘇樺婷","總幹事","0930030469","","305","新竹縣新埔鎮北平里10鄰89號","每週1、3、5","109年","114/04/14"
